evidence_id,record_id,evidence_type,evidence_url,issuer,notes
neea-2021-national-math-analysis-yi-wen,deekur-2021-15-math,official_analysis,https://gaokao.neea.edu.cn/html1/report/22012/3061-1.htm,教育部教育考试院,官方页面为2021年高考数学全国卷试题评析；佐证该全国卷考试身份，不提供本地PDF的下载来源或再发布许可
neea-2021-national-math-analysis-yi-li,deekur-2021-16-math,official_analysis,https://gaokao.neea.edu.cn/html1/report/22012/3061-1.htm,教育部教育考试院,官方页面为2021年高考数学全国卷试题评析；佐证该全国卷考试身份，不提供本地PDF的下载来源或再发布许可
neea-2021-national-math-analysis-jia-wen,deekur-2021-17-math,official_analysis,https://gaokao.neea.edu.cn/html1/report/22012/3061-1.htm,教育部教育考试院,官方页面为2021年高考数学全国卷试题评析；佐证该全国卷考试身份，不提供本地PDF的下载来源或再发布许可
neea-2021-national-math-analysis-jia-li,deekur-2021-18-math,official_analysis,https://gaokao.neea.edu.cn/html1/report/22012/3061-1.htm,教育部教育考试院,官方页面为2021年高考数学全国卷试题评析；佐证该全国卷考试身份，不提供本地PDF的下载来源或再发布许可
neea-2020-national-math-analysis-1-wen,deekur-2020-02-math,official_analysis,https://gaokao.neea.edu.cn/html1/report/22011/375-1.htm,教育部教育考试院,官方页面为2020年高考数学全国卷试题评析；佐证全国一卷文科数学考试身份，不提供本地PDF的下载来源或再发布许可
neea-2020-national-math-analysis-1-li,deekur-2020-03-math,official_analysis,https://gaokao.neea.edu.cn/html1/report/22011/375-1.htm,教育部教育考试院,官方页面为2020年高考数学全国卷试题评析；佐证全国一卷理科数学考试身份，不提供本地PDF的下载来源或再发布许可
neea-2020-national-math-analysis-2-wen,deekur-2020-04-math,official_analysis,https://gaokao.neea.edu.cn/html1/report/22011/375-1.htm,教育部教育考试院,官方页面为2020年高考数学全国卷试题评析；佐证全国二卷文科数学考试身份，不提供本地PDF的下载来源或再发布许可
neea-2020-national-math-analysis-2-li,deekur-2020-05-math,official_analysis,https://gaokao.neea.edu.cn/html1/report/22011/375-1.htm,教育部教育考试院,官方页面为2020年高考数学全国卷试题评析；佐证全国二卷理科数学考试身份，不提供本地PDF的下载来源或再发布许可
neea-2020-national-math-analysis-3-wen,deekur-2020-06-math,official_analysis,https://gaokao.neea.edu.cn/html1/report/22011/375-1.htm,教育部教育考试院,官方页面为2020年高考数学全国卷试题评析；佐证全国三卷文科数学考试身份，不提供本地PDF的下载来源或再发布许可
neea-2020-national-math-analysis-3-li,deekur-2020-07-math,official_analysis,https://gaokao.neea.edu.cn/html1/report/22011/375-1.htm,教育部教育考试院,官方页面为2020年高考数学全国卷试题评析；佐证全国三卷理科数学考试身份，不提供本地PDF的下载来源或再发布许可
neea-2020-national-physics-analysis-1,deekur-物理-2020-043,official_analysis,https://gaokao.neea.edu.cn/html1/report/22011/453-1.htm,教育部教育考试院,官方页面为2020年高考物理全国卷试题评析；佐证全国一卷理综物理部分考试身份，不提供本地PDF的下载来源或再发布许可
neea-2020-national-physics-analysis-2,deekur-物理-2020-044,official_analysis,https://gaokao.neea.edu.cn/html1/report/22011/453-1.htm,教育部教育考试院,官方页面为2020年高考物理全国卷试题评析；佐证全国二卷理综物理部分考试身份，不提供本地PDF的下载来源或再发布许可
neea-2020-national-physics-analysis-3,deekur-物理-2020-045,official_analysis,https://gaokao.neea.edu.cn/html1/report/22011/453-1.htm,教育部教育考试院,官方页面为2020年高考物理全国卷试题评析；佐证全国三卷理综物理部分考试身份，不提供本地PDF的下载来源或再发布许可
neea-2021-national-physics-analysis-yi,deekur-物理-2021-054,official_analysis,https://gaokao.neea.edu.cn/html1/report/22012/3159-1.htm,教育部教育考试院,官方页面为2021年高考理科综合全国卷试题评析；佐证全国乙卷物理部分考试身份，不提供本地PDF的下载来源或再发布许可
neea-2021-national-physics-analysis-jia,deekur-物理-2021-055,official_analysis,https://gaokao.neea.edu.cn/html1/report/22012/3159-1.htm,教育部教育考试院,官方页面为2021年高考理科综合全国卷试题评析；佐证全国甲卷物理部分考试身份，不提供本地PDF的下载来源或再发布许可
neea-2019-national-math-analysis-1-wen,deekur-数学-2019-030,official_analysis,https://gaokao.neea.edu.cn/html1/report/21123/6671-1.htm,教育部教育考试院,官方页面为2019年高考数学试题评析；佐证全国一卷文科数学考试身份，不提供本地PDF的下载来源或再发布许可
neea-2019-national-math-analysis-1-li,deekur-数学-2019-031,official_analysis,https://gaokao.neea.edu.cn/html1/report/21123/6671-1.htm,教育部教育考试院,官方页面为2019年高考数学试题评析；佐证全国一卷理科数学考试身份，不提供本地PDF的下载来源或再发布许可
neea-2019-national-math-analysis-2-wen,deekur-数学-2019-032,official_analysis,https://gaokao.neea.edu.cn/html1/report/21123/6671-1.htm,教育部教育考试院,官方页面为2019年高考数学试题评析；佐证全国二卷文科数学考试身份，不提供本地PDF的下载来源或再发布许可
neea-2019-national-math-analysis-2-li,deekur-数学-2019-033,official_analysis,https://gaokao.neea.edu.cn/html1/report/21123/6671-1.htm,教育部教育考试院,官方页面为2019年高考数学试题评析；佐证全国二卷理科数学考试身份，不提供本地PDF的下载来源或再发布许可
neea-2019-national-math-analysis-3-wen,deekur-数学-2019-034,official_analysis,https://gaokao.neea.edu.cn/html1/report/21123/6671-1.htm,教育部教育考试院,官方页面为2019年高考数学试题评析；佐证全国三卷文科数学考试身份，不提供本地PDF的下载来源或再发布许可
neea-2019-national-math-analysis-3-li,deekur-数学-2019-035,official_analysis,https://gaokao.neea.edu.cn/html1/report/21123/6671-1.htm,教育部教育考试院,官方页面为2019年高考数学试题评析；佐证全国三卷理科数学考试身份，不提供本地PDF的下载来源或再发布许可
neea-2018-national-math-analysis-1-wen,deekur-数学-2018-017,official_analysis,https://gaokao.neea.edu.cn/html1/report/2112/1060-1.htm,教育部教育考试院,官方页面为2018年高考数学试题评析；佐证全国一卷文科数学考试身份，不提供本地PDF的下载来源或再发布许可
neea-2018-national-math-analysis-1-li,deekur-数学-2018-018,official_analysis,https://gaokao.neea.edu.cn/html1/report/2112/1060-1.htm,教育部教育考试院,官方页面为2018年高考数学试题评析；佐证全国一卷理科数学考试身份，不提供本地PDF的下载来源或再发布许可
neea-2018-national-math-analysis-2-wen,deekur-数学-2018-019,official_analysis,https://gaokao.neea.edu.cn/html1/report/2112/1060-1.htm,教育部教育考试院,官方页面为2018年高考数学试题评析；佐证全国二卷文科数学考试身份，不提供本地PDF的下载来源或再发布许可
neea-2018-national-math-analysis-2-li,deekur-数学-2018-020,official_analysis,https://gaokao.neea.edu.cn/html1/report/2112/1060-1.htm,教育部教育考试院,官方页面为2018年高考数学试题评析；佐证全国二卷理科数学考试身份，不提供本地PDF的下载来源或再发布许可
neea-2018-national-math-analysis-3-wen,deekur-数学-2018-021,official_analysis,https://gaokao.neea.edu.cn/html1/report/2112/1060-1.htm,教育部教育考试院,官方页面为2018年高考数学试题评析；佐证全国三卷文科数学考试身份，不提供本地PDF的下载来源或再发布许可
neea-2018-national-math-analysis-3-li,deekur-数学-2018-022,official_analysis,https://gaokao.neea.edu.cn/html1/report/2112/1060-1.htm,教育部教育考试院,官方页面为2018年高考数学试题评析；佐证全国三卷理科数学考试身份，不提供本地PDF的下载来源或再发布许可
neea-2017-national-math-analysis-1-wen,deekur-数学-2017-002,official_analysis,https://gaokao.neea.edu.cn/html1/report/2112/1280-1.htm,教育部教育考试院,官方页面为2017年高考数学试题评析；佐证全国一卷文科数学考试身份，不提供本地PDF的下载来源或再发布许可
